symbol,company_name,industry,isin
SHARDACROP,Sharda Cropchem Ltd.,Chemicals,INE221J01015
SHARDAMOTR,Sharda Motor Industries Ltd.,Automobile and Auto Components,INE597I01028
SHAREINDIA,Share India Securities Ltd.,Financial Services,INE932X01026
SFL,Sheela Foam Ltd.,Consumer Durables,INE916U01025
SHILPAMED,Shilpa Medicare Ltd.,Healthcare,INE790G01031
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,INE087H01022
SHRIPISTON,Shriram Pistons & Rings Ltd.,Automobile and Auto Components,INE526E01018
SKIPPER,Skipper Ltd.,Capital Goods,INE439E01022
SOUTHBANK,South Indian Bank Ltd.,Financial Services,INE683A01023
STARCEMENT,Star Cement Ltd.,Construction Materials,INE460H01021
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,INE00M201021
STLTECH,Sterlite Technologies Ltd.,Telecommunication,INE089C01029
STAR,Strides Pharma Science Ltd.,Healthcare,INE939A01011
STYRENIX,Styrenix Performance Materials Ltd.,Chemicals,INE189B01011
SUBROS,Subros Ltd.,Capital Goods,INE287B01021
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,Chemicals,INE659A01023
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,INE232I01014
SUNFLAG,Sunflag Iron & Steel Company Ltd.,Capital Goods,INE947A01014
SUNTECK,Sunteck Realty Ltd.,Realty,INE805D01034
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,INE07RO01027
SURYAROSNI,Surya Roshni Ltd.,Capital Goods,INE335A01020
SYMPHONY,Symphony Ltd.,Consumer Durables,INE225D01027
TARC,TARC Ltd.,Realty,INE0EK901012
TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,INE419M01027
TSFINV,TSF Investments Ltd.,Financial Services,INE202Z01029
TVSSCS,TVS Supply Chain Solutions Ltd.,Services,INE395N01027
TANLA,Tanla Platforms Ltd.,Information Technology,INE483C01032
TEAMLEASE,Teamlease Services Ltd.,Services,INE985S01024
TEGA,Tega Industries Ltd.,Capital Goods,INE011K01018
TEXRAIL,Texmaco Rail & Eng. Ltd.,Capital Goods,INE621L01012
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,INE085J01014
ANUP,The Anup Engineering Ltd.,Capital Goods,INE294Z01018
THOMASCOOK,Thomas Cook (India) Ltd.,Consumer Services,INE332A01027
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,INE594H01019
TI,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,INE133E01013
TIMETECHNO,Time Technoplast Ltd.,Capital Goods,INE508G01029
TIPSMUSIC,Tips Music Ltd.,Media Entertainment & Publication,INE716B01029
TRANSRAILL,Transrail Lighting Ltd.,Capital Goods,INE454P01035
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,INE551W01018
UNIMECH,Unimech Aerospace and Manufacturing Ltd.,Capital Goods,INE0U3I01011
VMART,V-Mart Retail Ltd.,Consumer Services,INE665J01013
VIPIND,V.I.P. Industries Ltd.,Consumer Durables,INE054A01027
V2RETAIL,V2 Retail Ltd.,Consumer Services,INE945H01013
VSTIND,VST Industries Ltd.,Fast Moving Consumer Goods,INE710A01016
WABAG,Va Tech Wabag Ltd.,Utilities,INE956G01038
VAIBHAVGBL,Vaibhav Global Ltd.,Consumer Durables,INE884A01027
VARROC,Varroc Engineering Ltd.,Automobile and Auto Components,INE665L01035
VESUVIUS,Vesuvius India Ltd.,Capital Goods,INE386A01023
VINATIORGA,Vinati Organics Ltd.,Chemicals,INE410B01037
VOLTAMP,Voltamp Transformers Ltd,Capital Goods,INE540H01012
WAAREERTL,Waaree Renewable Technologies Ltd.,Capital Goods,INE299N01021
WEBELSOLAR,Websol Energy System Ltd.,Capital Goods,INE855C01023
WELENT,Welspun Enterprises Ltd.,Construction,INE625G01013
WESTLIFE,Westlife Foodworld Ltd.,Consumer Services,INE274F01020
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,INE0JO301016
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,INE07K301024
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028
EMUDHRA,eMudhra Ltd.,Information Technology,INE01QM01018
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,INE531F01015
